Monthly Total Precipitation for SPRINGFIELD, CO,,,,,,,,,,,,,,,,,,,,,,,,
For each month: monthly value and monthly number of missing days,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Year, Jan, mcnt, Feb, mcnt, Mar, mcnt, Apr, mcnt, May, mcnt, Jun, mcnt, Jul, mcnt, Aug, mcnt, Sep, mcnt, Oct, mcnt, Nov, mcnt, Dec, mcnt, Annual
1946,0.3,0,0.3,0,1.69,0,1.47,0,4.77,0,2.07,0,0.7,0,1.96,0,1.24,0,0.44,0,3.36,0, T,0,18.3
1947,0.49,0,0.63,0,1.38,0,1,0,3.5,0,1.63,0,2.67,0,1.24,0,1.58,0,0.18,0,0.2,0,1.55,0,16.05
1948,1.21,0,1.15,0,2.58,0,0.13,0,2.29,0,4.02,0,0.99,0,3.52,0,0.46,0,0.22,1,0.72,0, T,0,17.29
1949,1.73,0,0.28,0,1.23,0,0.34,0, M,6,3.36,0,3.43,0,4.13,0, M,14, M,31, M,30, M,31, M
1950, M,31, M,18,0.01,0,0.25,0,0.28,0,2.98,0,2.98,0,3.15,0,1.36,0,0.35,0,0.08,0, T,0, M
1951,0.29,0,0.08,0,0.16,0,0.28,0,5.95,0,3.21,0,2.22,0,2.63,0,0.92,0,0.47,0,0.34,0, T,0,16.55
1952,0.12,0,0.22,0,0.44,0,1.56,0,1.56,0,0.05,0,1.01,0,1.18,0,0.84,0,0,0,0.36,0,0.16,0,7.5
1953,0.02,0,0.06,0,0.52,0,0.34,0,1.04,0,0.88,0,2.38,0,2.08,0,0,0,0.65,0,1.1,0,0.53,0,9.6
1954,0.2,0,0.07,0,0.18,0,0.16,0,1.7,0,1.22,0,3.2,0,1.1,0,0.15,0,1.4,0, T,0,0.15,0,9.53
1955,0.05,0,0.14,0,0.08,0,2.73,0,4.61,0,0.61,0,0.46,0,1.76,0,1.24,0,0.02,0,0.06,0,0.47,0,12.23
1956,0.25,0,0.16,0,0.23,0,0.79,0,1.02,0,0.8,0,2.82,0,2.13,0,0.12,0,0.17,0,0.35,0,0.03,0,8.87
1957,0.11,0,0.08,0,2.32,0,2.26,0,3.38,0,2.15,0,4.13,0,2.76,0,0.42,0,0.81,0,0.65,0,0.04,0,19.11
1958,0.29,0,0.57,0,1.25,0,1.15,0,3.93,0,1.47,0,3.41,0,0.99,0,0.63,0,0.07,0,0.48,0,0.28,0,14.52
1959,0.49,0,0.41,0,1.21,0,0.57,0,2.73,0,1.2,0,3.98,0,2.66,0,0.13,0,2.09,0,0.23,0,0.99,0,16.69
1960,1.74,0,1.48,0,0.51,0,0.69,1,1.09,0,1.89,0,0.84,0,1.77,0,1.63,0,2.46,0,0.13,0,0.92,0,15.15
1961,0.06,0,0.7,0,0.35,0,0.56,0,0.68,0,3.2,0,3.66,0,1.6,0,1.41,0,0.86,0,1.8,0,0.1,0,14.98
1962,0.57,0,0.01,0,0.64,0,0.89,0,2.21,0,3.29,0,3.96,0,0.35,0,0.62,0,0.19,0,0.65,0,0.1,0,13.48
1963,0.04,0,0.33,0,0.51,0,0.36,0,1.2,0,2.43,0,2.01,0,2.41,0,1.61,0,0.3,0,0.15,0,0.26,0,11.61
1964,0,0,1.59,0,0.49,0,0.79,0, M,31,0.84,0,0.15,0,1.53,0,0.31,0, T,0,1.19,0,0.56,0, M
1965,0.45,0,0.32,0,0.62,0,0.03,0,1.83,0,9.72,0, M,31,2.73,0,0.36,0, M,31,0.02,0,0.53,0, M
1966,0.88,0,0.18,0,0.17,0,0.12,0,0.26,0,0.53,0,7.27,0,1.31,0,1.76,0,0.19,0,0,0,0.37,0,13.04
1967,0.56,0,0.07,0,0.08,0,0.62,0,2.98,0,4.89,0,2.26,0,1.27,0,0.87,0,0.27,0,0.25,0,0.42,0,14.54
1968,0.09,0,0.16,0,0.68,0,0.31,0,2.26,0,0.54,0,3.09,0,2.11,0,0.23,0,0,0,0.39,0,0.3,0,10.16
1969,0.37,0,0.13,0,2.3,0,2.71,0,3.81,0,3.65,0,2.24,0,2.1,0,3.32,0,1.99,0,0.25,0,0.22,0,23.09
1970,0.01,0,0.04,0,1.43,0,1.49,0,1.47,0,0.26,0,2.89,0,1.61,0,3.11,0,0.78,0,1.66,0,0.13,0,14.88
1971, M,31,0.97,0,0.6,0,2.75,0,1.55,0,1.58,0,2.45,0,0.6,0,1.21,0,0.95,0,0.77,0,0.38,0, M
1972,0.11,0, M,29,0.85,0,0.47,0,5.02,0,3.94,0,1.14,0,1.58,0,1.44,0,0.15,0,3.74,0,0.45,0, M
1973, M,31, M,28,4.54,0,1,0,2.67,0,0.94,0,2.7,0,0.11,0,3.89,0, M,31, M,30, M,31, M
1974,0.1,0,0.1,0,1.19,0, M,30,0.61,0,2.19,0,0.91,0,2.68,0,0.12,0,1.96,0,0.12,0,0.07,0, M
1975,0.5,0,0.33,0,1.14,0,1.24,1,3.44,0,3.56,0,1.03,0,2.53,0,0.55,0,0,0,2.8,0,0.16,0,17.28
1976,0.02,0,0.23,0,0.77,0,3.63,0,2.86,0,0.35,0,0.85,0,2.75,0,2,0,0.31,0,0.3,0, M,31, M
1977,0.01,0,0.29,0,0.61,0,4.99,0,3.08,0,1.09,0,2.74,0,3.09,0, M,30, M,31, M,30,0,0, M
1978,0.3,0,0.64,0,0.08,0,1.45,0,4.36,0,2.74,0,2.16,0, M,31,0.42,0,0.36,0, M,30,0.39,0, M
1979,0.37,0,0.05,0,2.45,0, M,12, M,31,2.47,0,3.61,0, M,31, M,30,1.8,0, M,30,0.35,0, M
1980, M,31, M,29,1.2,0, M,2, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1981, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1982, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1983, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1984, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,2,0.49,0,1.99,0,0.25,0,0.69,0, M
1985,0.45,0,0.24,0, M,2,2.18,0,1.1,0,0.29,0,5.36,0, M,31, M,30, M,31, M,30, M,31, M
1986, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1987, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1988, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1989, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1990, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1991, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1992, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1993, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1994, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1995, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1996, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1997, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1998, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1999, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2000, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2001, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2002, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2003, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2004, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2005, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2006, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2007, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2008, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2009, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2010, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2011, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2012, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2013, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2014, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2015, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2016, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2017, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2018, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2019, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2020, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
2021, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
Mean,0.4, ,0.46, ,1.05, ,1.4, ,2.36, ,2.11, ,2.41, ,1.89, ,1.25, ,0.92, ,0.69, ,0.41, ,15.05
Max,1.74, ,2.2, ,4.54, ,5.43, ,6.27, ,9.72, ,7.27, ,5.55, ,6.38, ,4.75, ,3.74, ,1.55, ,26.66
Min,0, ,0, ,0.01, ,0.03, ,0, ,0, ,0.15, ,0, ,0, ,0, ,0, ,0, ,7.5
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Historical range (1916-1970),
,,,,,,,,,,,,,,,,,,,,,,,,Average,14.99977778
